Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000100604,CHGA,Gene Expression,0.9441088019231372,0.0,0.0,47203363,7071.360287820545,6195
ENSG00000089199,CHGB,Gene Expression,0.9073408881922645,0.0,0.0,7891703,1166.6240169353603,6192
ENSG00000198938,MT-CO3,Gene Expression,0.9014163182327468,0.0,0.0,8212751,1249.3703512010838,6195
ENSG00000164326,CARTPT,Gene Expression,0.8924097061434612,0.0,0.0,4288017,627.1567576049529,6182
ENSG00000129167,TPH1,Gene Expression,0.8887652479119422,0.0,0.0,2054967,309.5793365390654,6157
ENSG00000198727,MT-CYB,Gene Expression,0.8872599142884932,0.0,0.0,3151676,485.4950226067626,6195
ENSG00000118271,TTR,Gene Expression,0.8850504722646405,0.0,0.0,2005675,292.84698325100953,6153
ENSG00000175426,PCSK1,Gene Expression,0.8837943487244997,0.0,0.0,1249861,186.79111381548378,6108
ENSG00000145321,GC,Gene Expression,0.8804336619108023,0.0,0.0,1382837,204.44134471969082,6099
ENSG00000272398,CD24,Gene Expression,0.8747924641398913,0.0,0.0,1069058,161.64640968201545,6115
ENSG00000198840,MT-ND3,Gene Expression,0.8723396982287767,0.0,0.0,1923662,299.00766698866045,6193
ENSG00000198712,MT-CO2,Gene Expression,0.8717486437143164,0.0,0.0,4514374,686.9264252987836,6195
ENSG00000004799,PDK4,Gene Expression,0.8713157137609125,0.0,0.0,1467736,219.35536226587973,6149
ENSG00000156234,CXCL13,Gene Expression,0.8678641230400688,0.0,0.0,977380,147.81227378449327,6023
ENSG00000198734,F5,Gene Expression,0.8595252336248838,0.0,0.0,730316,109.2559207783182,6032
ENSG00000165092,ALDH1A1,Gene Expression,0.8578846079599678,0.0,0.0,1577724,236.6992656734408,6177
ENSG00000198899,MT-ATP6,Gene Expression,0.857328778988802,0.0,0.0,3703085,570.0582208889533,6194
ENSG00000091583,APOH,Gene Expression,0.8482435603744286,0.0,0.0,570226,84.87604072316756,6014
ENSG00000170419,VSTM2A,Gene Expression,0.8416923093257092,0.0,0.0,522770,78.53101197080822,5962
ENSG00000133392,MYH11,Gene Expression,0.8381413578999404,0.0,0.0,22563,12.074582300189377,1672
ENSG00000124212,PTGIS,Gene Expression,0.8377314856739964,0.0,0.0,7834,4.150063020126744,1253
ENSG00000166922,SCG5,Gene Expression,0.8365359977390221,0.0,0.0,842457,123.4786977288577,6100
ENSG00000160180,TFF3,Gene Expression,0.8312659145396875,0.0,0.0,756960,109.66393464553765,6079
ENSG00000211448,DIO2,Gene Expression,0.8280538415379273,0.0,0.0,745325,112.9148753646802,6083
ENSG00000171951,SCG2,Gene Expression,0.8245636547504259,0.0,0.0,759243,111.21183663406163,6114
ENSG00000089220,PEBP1,Gene Expression,0.8233476334500143,0.0,0.0,776268,118.59020742214737,6159
ENSG00000106809,OGN,Gene Expression,0.8134241045860245,0.0,0.0,7627,3.9010560166839316,1405
ENSG00000163499,CRYBA2,Gene Expression,0.812312976994722,0.0,0.0,317583,47.598244607885775,5983
ENSG00000104112,SCG3,Gene Expression,0.8097732355265743,0.0,0.0,244497,36.339581486900286,5873
ENSG00000186340,THBS2,Gene Expression,0.8071880121095064,0.0,0.0,13567,6.004001238407799,1967
ENSG00000054356,PTPRN,Gene Expression,0.805882904429785,0.0,0.0,410574,60.34972296890032,6014
ENSG00000049540,ELN,Gene Expression,0.8038847307134007,0.0,0.0,8373,4.097146182531217,1720
ENSG00000169903,TM4SF4,Gene Expression,0.8021134506166282,0.0,0.0,371623,55.47760150481559,5983
ENSG00000133169,BEX1,Gene Expression,0.8000505201154686,0.0,0.0,302074,44.797989108203865,5971
ENSG00000111341,MGP,Gene Expression,0.7985710314519762,0.0,0.0,120420,51.1287831710946,5969
ENSG00000198763,MT-ND2,Gene Expression,0.7946519264722202,0.0,0.0,1085400,169.10956047517416,6194
ENSG00000116299,KIAA1324,Gene Expression,0.7927083861771665,0.0,0.0,283229,42.09009175016158,5936
